Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Sector,Industry
2022-01-03,178.32000732421875,179.08999633789062,175.83999633789062,177.74000549316406,165.76242065429688,1930700.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-04,178.47999572753906,181.25999450683597,178.02999877929688,180.22999572753903,168.08460998535156,2522200.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-05,177.1300048828125,181.77999877929688,177.0,179.49000549316406,167.39447021484375,2952400.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-06,180.8800048828125,181.27999877929688,177.5399932861328,178.0,166.00489807128906,2505400.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-07,178.1300048828125,180.4900054931641,177.22000122070312,179.9499969482422,167.82347106933594,2800200.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-10,179.4499969482422,179.8300018310547,176.77999877929688,177.41000366210938,165.4546356201172,2318000.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-11,178.0,179.5500030517578,176.4199981689453,178.97999572753906,166.91883850097656,2264200.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-12,179.0,180.00999450683594,178.58999633789062,179.4199981689453,167.32920837402344,1728500.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-13,179.8800048828125,181.33999633789065,179.02999877929688,181.0200042724609,168.82139587402344,2094700.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-14,180.8600006103516,180.8600006103516,177.6699981689453,178.74000549316406,166.69503784179688,2286100.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-18,178.17999267578125,178.5500030517578,176.1699981689453,178.27999877929688,166.26600646972656,2410600.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-19,179.8300018310547,180.8699951171875,177.6300048828125,178.47999572753906,166.45254516601562,1968600.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-20,178.5800018310547,179.22000122070312,173.30999755859375,173.57000732421875,161.87344360351562,2817300.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-21,173.39999389648438,176.02000427246094,172.55999755859375,172.64999389648438,161.01541137695312,3479100.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-24,171.86000061035156,173.2100067138672,168.8300018310547,172.8000030517578,161.15530395507812,4711700.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-25,173.52999877929688,174.55999755859375,168.00999450683594,173.75,162.0413055419922,5051100.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-26,174.27999877929688,175.25,168.1999969482422,169.3000030517578,157.8911590576172,4410000.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-27,169.10000610351562,172.1199951171875,168.44000244140625,170.16000366210938,158.69322204589844,2782800.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-28,168.38999938964844,168.75,160.5399932861328,163.10000610351562,152.10899353027344,6221600.0,MMM,3M,Industrials,Industrial Conglomerates
2022-01-31,162.6999969482422,166.2899932861328,161.58999633789062,166.02000427246094,154.83218383789062,5090400.0,MMM,3M,Industrials,Industrial Conglomerates
2022-02-01,165.58999633789062,167.9600067138672,164.75999450683594,167.42999267578125,156.1471710205078,2987900.0,MMM,3M,Industrials,Industrial Conglomerates
2022-02-02,167.8000030517578,169.25,165.8000030517578,166.66000366210938,155.42906188964844,3191300.0,MMM,3M,Industrials,Industrial Conglomerates
