년,월,corp_name,종가,거래량,날짜
2023,1,LX인터내셔널,33647.5,256906.45,2023-01-01
2023,1,LX하우시스,34582.5,39868.45,2023-01-01
2023,1,LX하우시스우,17638.5,3491.1,2023-01-01
2023,1,LX홀딩스,8522.5,89649.75,2023-01-01
2023,1,LX홀딩스1우,11397.0,1505.95,2023-01-01
2023,1,MH에탄올,7672.5,7505.5,2023-01-01
2023,1,NAVER,194675.0,863275.85,2023-01-01
2023,1,NHN,26242.5,89935.0,2023-01-01
2023,1,NH올원리츠,3669.5,161357.75,2023-01-01
2023,1,NH투자증권,9207.5,536447.05,2023-01-01
2023,1,NH투자증권우,8875.0,31023.2,2023-01-01
2023,1,NH프라임리츠,4356.5,26963.65,2023-01-01
2023,1,NICE,13071.0,22814.6,2023-01-01
2023,1,NI스틸,4708.5,132354.35,2023-01-01
2023,1,NPC,6165.5,368563.35,2023-01-01
2023,1,NPC우,3279.75,59275.15,2023-01-01
2023,1,OCI홀딩스,67959.1,322652.5,2023-01-01
2023,1,PI첨단소재,31350.0,137412.2,2023-01-01
2023,1,POSCO홀딩스,295450.0,388396.85,2023-01-01
2023,1,S-Oil,84285.0,358251.15,2023-01-01
2023,1,S-Oil우,52862.5,8437.65,2023-01-01
2023,1,SBS,32020.0,108939.9,2023-01-01
2023,1,SGC에너지,30670.0,37113.75,2023-01-01
2023,1,SG글로벌,1685.4,258800.15,2023-01-01
2023,1,SG세계물산,580.65,5362891.35,2023-01-01
2023,1,SHD,35145.0,6584.4,2023-01-01
2023,1,SH에너지화학,851.05,1163866.35,2023-01-01
2023,1,SIMPAC,5067.75,192496.35,2023-01-01
2023,1,SJM,4322.25,29078.05,2023-01-01
2023,1,SJM홀딩스,3528.0,115539.05,2023-01-01
2023,1,SK,192550.0,111774.9,2023-01-01
2023,1,SKC,93060.0,155088.6,2023-01-01
2023,1,SK가스,117065.0,6286.75,2023-01-01
2023,1,SK네트웍스,3905.0,462445.3,2023-01-01
2023,1,SK네트웍스우,48872.5,7792.4,2023-01-01
2023,1,SK디스커버리,30537.5,20614.35,2023-01-01
2023,1,SK디스커버리우,28010.0,3397.85,2023-01-01
2023,1,SK디앤디,20597.5,16274.25,2023-01-01
2023,1,SK렌터카,6891.5,32625.75,2023-01-01
2023,1,SK리츠,5451.0,122518.1,2023-01-01
2023,1,SK바이오사이언스,76390.0,232214.05,2023-01-01
2023,1,SK바이오팜,72800.0,78081.55,2023-01-01
2023,1,SK스퀘어,35307.5,352975.0,2023-01-01
2023,1,SK아이이테크놀로지,61720.0,347937.6,2023-01-01
2023,1,SK오션플랜트,19685.0,402466.7,2023-01-01
2023,1,SK우,169920.0,642.2,2023-01-01
2023,1,SK이노베이션,156215.0,321887.5,2023-01-01
2023,1,SK이노베이션우,96335.0,2751.05,2023-01-01
2023,1,SK증권,677.55,5258781.1,2023-01-01
2023,1,SK증권우,2684.75,17633.85,2023-01-01
2023,1,SK케미칼,79470.0,65690.75,2023-01-01
2023,1,SK케미칼우,39147.5,4756.75,2023-01-01
2023,1,SK텔레콤,46897.5,810376.65,2023-01-01
2023,1,SK하이닉스,85675.0,2832004.0,2023-01-01
2023,1,SNT다이내믹스,9459.0,214579.1,2023-01-01
2023,1,SNT모티브,42952.5,20363.15,2023-01-01
2023,1,SNT에너지,19170.0,31992.65,2023-01-01
2023,1,SNT홀딩스,15833.0,5024.2,2023-01-01
2023,1,SPC삼립,70780.0,11111.95,2023-01-01
2023,1,STX,5665.5,1198321.0,2023-01-01
2023,1,STX엔진,13778.5,76565.45,2023-01-01
2023,1,STX중공업,7093.5,633799.15,2023-01-01
2023,1,SUN&L,3327.25,7066.4,2023-01-01
2023,1,TBH글로벌,1733.65,391306.3,2023-01-01
2023,1,TCC스틸,10116.0,207285.4,2023-01-01
2023,1,TKG휴켐스,19669.5,80136.4,2023-01-01
2023,1,TYM,9100.65,4526242.6,2023-01-01
2023,1,WISCOM,2655.5,11239.75,2023-01-01
2023,1,YG PLUS,5069.25,1156444.75,2023-01-01
2023,1,가온전선,18677.5,32087.5,2023-01-01
2023,1,강남제비스코,20627.5,3177.15,2023-01-01
2023,1,강원랜드,23452.5,429993.6,2023-01-01
2023,1,갤럭시아에스엠,2106.75,3168261.0,2023-01-01
2023,1,경농,10479.0,20077.7,2023-01-01
2023,1,경동나비엔,33555.0,33133.95,2023-01-01
2023,1,경동도시가스,24527.5,85871.45,2023-01-01
2023,1,경동인베스트,95205.0,89212.35,2023-01-01
2023,1,경방,10663.0,6753.2,2023-01-01
2023,1,경보제약,8495.0,479820.4,2023-01-01
2023,1,경인양행,4309.5,54452.85,2023-01-01
2023,1,경인전자,24237.5,1928.3,2023-01-01
2023,1,계룡건설,18894.0,20891.65,2023-01-01
2023,1,계양전기,2292.75,74990.35,2023-01-01
2023,1,계양전기우,5460.7,2275.9,2023-01-01
2023,1,고려산업,3633.5,445311.7,2023-01-01
2023,1,고려아연,548250.0,45210.15,2023-01-01
2023,1,고려제강,21032.5,27686.05,2023-01-01
2023,1,광동제약,5955.5,68869.4,2023-01-01
2023,1,광명전기,2249.25,1282333.85,2023-01-01
2023,1,광전자,2234.0,31996.8,2023-01-01
2023,1,광주신세계,32687.5,11500.2,2023-01-01
2023,1,교보증권,5537.0,34918.95,2023-01-01
2023,1,교촌에프앤비,9340.5,22691.3,2023-01-01
2023,1,국도화학,43022.5,12420.9,2023-01-01
2023,1,국동,1245.0,314774.4,2023-01-01
2023,1,국보,7681.5,632090.55,2023-01-01
2023,1,국제약품,4980.6,1169695.45,2023-01-01
2023,1,그린케미칼,9991.5,347185.25,2023-01-01
2023,1,극동유화,3622.0,82067.0,2023-01-01
2023,1,금강공업,6212.0,235381.95,2023-01-01
2023,1,금강공업우,12380.0,2078.7,2023-01-01
2023,1,금비,109980.0,36672.2,2023-01-01
2023,1,금양,24590.0,2372561.2,2023-01-01
2023,1,금호건설,7535.5,986247.45,2023-01-01
2023,1,금호건설우,24692.5,5911.7,2023-01-01
2023,1,금호석유,140715.0,73605.9,2023-01-01
2023,1,금호석유우,80890.0,7688.4,2023-01-01
2023,1,금호에이치티,900.75,404872.95,2023-01-01
2023,1,금호전기,934.95,50120.5,2023-01-01
2023,1,금호타이어,2926.25,304661.35,2023-01-01
2023,1,기신정기,3522.5,26790.8,2023-01-01
2023,1,기아,64560.0,1584984.5,2023-01-01
2023,1,기업은행,10233.5,1244581.8,2023-01-01
2023,1,까뮤이앤씨,1929.75,2108769.25,2023-01-01
2023,1,깨끗한나라,2867.0,29155.1,2023-01-01
2023,1,깨끗한나라우,18311.0,338.5,2023-01-01
2023,1,남광토건,9934.5,280998.35,2023-01-01
2023,1,남선알미늄,2222.0,2086167.15,2023-01-01
2023,1,남선알미우,27285.0,2667.6,2023-01-01
2023,1,남성,2293.5,3272666.5,2023-01-01
